id,content_type,filename,size,tags,description,page_id,parent_id,thumbnail,width,height,db_file_id
12,image/jpeg,bruno.jpg,25304,imágen_principal,,10,,,228,393,
13,image/jpeg,bruno_thumb.jpg,25304,,,,12,thumb,99,170,
14,image/jpeg,cazador.jpg,31626,imágen_principal,,3,,,228,374,
15,image/jpeg,cazador_thumb.jpg,31626,,,,14,thumb,104,170,
16,image/jpeg,diario.jpg,34117,imágen_principal,,2,,,228,380,
17,image/jpeg,diario_thumb.jpg,34117,,,,16,thumb,102,170,
18,image/jpeg,gente_rara.jpg,13884,imágen_principal,,13,,,228,355,
19,image/jpeg,gente_rara_thumb.jpg,13884,,,,18,thumb,109,170,
20,image/jpeg,la_selva.jpg,25284,imágen_principal,,14,,,228,379,
21,image/jpeg,la_selva_thumb.jpg,25284,,,,20,thumb,102,170,
22,image/jpeg,tuga.jpg,26840,imágen_principal,,15,,,228,392,
23,image/jpeg,tuga_thumb.jpg,26840,,,,22,thumb,99,170,
24,image/jpeg,Los_poemas.jpg,21787,imágen_principal,,16,,,228,372,
25,image/jpeg,Los_poemas_thumb.jpg,21787,,,,24,thumb,104,170,
40,image/pjpeg,IMG_0306.jpg,14126,imágen_principal,,18,,,235,314,
41,image/pjpeg,IMG_0306_thumb.jpg,14126,,,,40,thumb,127,170,
52,image/pjpeg,Formas_16_gato_saltando.jpg,4823,imágen_principal,,20,,,228,106,
53,image/pjpeg,Formas_16_gato_saltando_thumb.jpg,4823,,,,52,thumb,366,170,
54,image/pjpeg,pi.jpg,13386,imágen_principal,,5,,,168,240,
55,image/pjpeg,pi_thumb.jpg,13386,,,,54,thumb,119,170,
70,image/jpeg,Para_biografia_3.jpg,26258,imágen_principal,,19,,,252,355,
71,image/jpeg,Para_biografia_3_thumb.jpg,26258,,,,70,thumb,121,170,
74,image/pjpeg,Esqueleto_para_mi_bio_con_libro.jpg,12812,imágen_principal,,21,,,247,416,
75,image/pjpeg,Esqueleto_para_mi_bio_con_libro_thumb.jpg,12812,,,,74,thumb,101,170,
92,image/pjpeg,Bruno_interior.JPG,13805,imágen_principal,,11,,,228,344,
93,image/pjpeg,Bruno_interior_thumb.JPG,13805,,,,92,thumb,113,170,
96,image/pjpeg,3333_2.jpg,24103,imágen_principal,,24,,,232,372,
97,image/pjpeg,3333_2_thumb.jpg,24103,,,,96,thumb,106,170,
102,image/pjpeg,ojo_de_nube_esp.jpg,26629,imágen_principal,,26,,,239,372,
103,image/pjpeg,ojo_de_nube_esp_thumb.jpg,26629,,,,102,thumb,109,170,
104,image/pjpeg,Diario_recort.jpg,12985,imágen_principal,,12,,,200,198,
105,image/pjpeg,Diario_recort_thumb.jpg,12985,,,,104,thumb,172,170,
106,image/pjpeg,Los_zorros.jpg,28632,imágen_principal,,28,,,236,372,
107,image/pjpeg,Los_zorros_thumb.jpg,28632,,,,106,thumb,108,170,
108,image/pjpeg,La_isla.jpg,18702,imágen_principal,,29,,,225,372,
109,image/pjpeg,La_isla_thumb.jpg,18702,,,,108,thumb,103,170,
110,image/pjpeg,Zigurat.jpg,30512,imágen_principal,,30,,,270,372,
111,image/pjpeg,Zigurat_thumb.jpg,30512,,,,110,thumb,123,170,
112,image/pjpeg,zigurat_int2.jpg,26047,imágen_principal,,31,,,423,296,
113,image/pjpeg,zigurat_int2_thumb.jpg,26047,,,,112,thumb,243,170,
114,image/pjpeg,3333_int.jpg,13047,imágen_principal,,32,,,203,200,
115,image/pjpeg,3333_int_thumb.jpg,13047,,,,114,thumb,173,170,
116,image/pjpeg,cazador-galego.jpg,14583,imágen_principal,,33,,,200,204,
117,image/pjpeg,cazador-galego_thumb.jpg,14583,,,,116,thumb,167,170,
118,image/pjpeg,cazador-catalá.jpg,14616,imágen_principal,,34,,,200,217,
119,image/pjpeg,cazador-catalá_thumb.jpg,14616,,,,118,thumb,157,170,
120,image/pjpeg,estrellas-persa.jpg,35096,imágen_principal,,35,,,310,440,
121,image/pjpeg,estrellas-persa_thumb.jpg,35096,,,,120,thumb,120,170,
122,image/pjpeg,F_sahara.jpg,42032,imágen_principal,,36,,,310,500,
123,image/pjpeg,F_sahara_thumb.jpg,42032,,,,122,thumb,105,170,
124,image/pjpeg,Hoja.JPG,31757,imágen_principal,,9,,,167,300,
125,image/pjpeg,Hoja_thumb.JPG,31757,,,,124,thumb,95,170,
126,image/pjpeg,ojo_de_nube_fr.jpg,23675,imágen_principal,,38,,,238,372,
127,image/pjpeg,ojo_de_nube_fr_thumb.jpg,23675,,,,126,thumb,109,170,
132,image/pjpeg,b_adultos.jpg,5614,imágen_principal,,40,,,150,372,
133,image/pjpeg,b_adultos_thumb.jpg,5614,,,,132,thumb,69,170,
134,image/pjpeg,Poemas-aldecoa.jpg,22048,imágen_principal,,41,,,273,372,
135,image/pjpeg,Poemas-aldecoa_thumb.jpg,22048,,,,134,thumb,125,170,
136,image/pjpeg,algo_aldecoa.jpg,23976,imágen_principal,,42,,,276,372,
137,image/pjpeg,algo_aldecoa_thumb.jpg,23976,,,,136,thumb,126,170,
140,image/pjpeg,b_alfaguara.jpg,7390,imágen_principal,,44,,,150,372,
141,image/pjpeg,b_alfaguara_thumb.jpg,7390,,,,140,thumb,69,170,
150,image/pjpeg,blank1.jpg,747,imágen_principal,,45,,,228,20,
151,image/pjpeg,blank1_thumb.jpg,747,,,,150,thumb,1938,170,
152,image/pjpeg,blank1.jpg,2067,imágen_principal,,46,,,228,372,
153,image/pjpeg,blank1_thumb.jpg,2067,,,,152,thumb,104,170,
154,image/pjpeg,blank1.jpg,2067,imágen_principal,,47,,,228,372,
155,image/pjpeg,blank1_thumb.jpg,2067,,,,154,thumb,104,170,
156,image/pjpeg,b_edelvives.jpg,7532,imágen_principal,,48,,,150,372,
157,image/pjpeg,b_edelvives_thumb.jpg,7532,,,,156,thumb,69,170,
158,image/pjpeg,b_sm.jpg,5661,imágen_principal,,49,,,150,372,
159,image/pjpeg,b_sm_thumb.jpg,5661,,,,158,thumb,69,170,
160,image/pjpeg,blank1.jpg,2067,imágen_principal,,50,,,228,372,
161,image/pjpeg,blank1_thumb.jpg,2067,,,,160,thumb,104,170,
164,image/pjpeg,b_sm_especial.jpg,9103,imágen_principal,,51,,,228,372,
165,image/pjpeg,b_sm_especial_thumb.jpg,9103,,,,164,thumb,104,170,
166,image/pjpeg,capa13.jpg,15489,imágen_principal,,52,,,291,197,
167,image/pjpeg,capa13_thumb.jpg,15489,,,,166,thumb,251,170,
172,image/pjpeg,Bruno2.jpg,32459,imágen_principal,,56,,,226,372,
173,image/pjpeg,Bruno2_thumb.jpg,32459,,,,172,thumb,103,170,
174,image/pjpeg,Mundo1.jpg,18656,imágen_principal,,55,,,233,240,
175,image/pjpeg,Mundo1_thumb.jpg,18656,,,,174,thumb,165,170,
